state,shot_index,I1_mean,Q1_mean,I2_mean,Q2_mean,I1_std,Q1_std,I2_std,Q2_std
vacuum,81,-0.00045468798,0.00011944557,0.0014098582,0.0004031789,0.023423389,0.023808569,0.029248476,0.028728018
vacuum,82,-0.0006752472,-0.00032899602,0.0010697914,0.00014355796,0.024198221,0.023785448,0.02835311,0.027122995
vacuum,83,-0.0007657692,0.0012586471,-0.0014476841,-0.00082916184,0.023560178,0.02343847,0.029351614,0.027509715
vacuum,84,0.0014336898,0.0011079271,-0.00013881281,0.0009799374,0.023936091,0.0232309,0.028081989,0.029261071
vacuum,85,0.00013896957,-0.0010667532,-0.0012300767,0.0015141807,0.023150792,0.024445793,0.028591154,0.027386753
vacuum,86,-0.0010636363,4.7193374e-05,0.00058559724,-0.00020221068,0.023261065,0.023655606,0.027642118,0.02872168
vacuum,87,0.00027541962,0.00020876617,0.0009631776,0.00020641647,0.023974227,0.023676166,0.028804334,0.028860657
vacuum,88,0.0019819818,0.00050328893,7.421072e-05,-0.00099332,0.023668332,0.023783771,0.028732534,0.02893773
vacuum,89,0.0004123057,-0.00033255783,0.00088881416,0.0010933499,0.02288765,0.023777636,0.028677428,0.027960338
vacuum,90,-0.0004879834,0.0009277824,8.973494e-05,0.0006385427,0.023209834,0.023355197,0.028208984,0.028816815
vacuum,91,-0.0011674438,-0.001092898,0.00024115512,-5.98645e-05,0.023907993,0.02341466,0.029103858,0.029050024
vacuum,92,-0.00038526923,0.00090640236,0.00029069916,-0.00040716742,0.02301733,0.023700785,0.028564647,0.028770555
vacuum,93,0.00021210189,-0.0002723643,6.438182e-05,-0.0004829573,0.023894195,0.024351755,0.029191274,0.028535137
vacuum,94,0.00027596578,-0.00048472965,0.0006545418,-0.0010882401,0.024186026,0.023784786,0.029455232,0.029335763
vacuum,95,0.00047876194,-0.00039504137,-0.0013111238,-0.0006871843,0.024161322,0.023725213,0.028393991,0.028702488
vacuum,96,0.00035689876,-8.2935614e-05,3.3174932e-05,-0.00024675997,0.024849694,0.02375423,0.029118547,0.02933813
vacuum,97,0.0015416873,0.00029226468,-0.00060002337,-0.00087216456,0.023223022,0.024035303,0.028640715,0.028671341
vacuum,98,1.4975041e-05,-0.0007140679,-0.0012674674,-0.0010500997,0.023679323,0.023902979,0.029341284,0.029235685
vacuum,99,-0.0009907936,-0.00069256267,6.92078e-05,-0.0016922452,0.023566807,0.023431892,0.028009012,0.029153952
vacuum,100,9.328539e-05,0.0009081161,-0.00037967024,0.001579169,0.023336958,0.02435652,0.028488023,0.02840428
vacuum,101,0.00017446921,-0.00021402282,-0.00031386805,7.861122e-05,0.02360954,0.023585277,0.029982239,0.028890047
vacuum,102,0.0003787157,-0.00026120272,0.0008692879,0.00029602612,0.024153994,0.023488004,0.02792668,0.028275322
vacuum,103,-0.00039144768,1.5224214e-05,0.0012269465,0.0007784546,0.023678023,0.023398343,0.028787568,0.02881294
vacuum,104,-0.00022129796,-0.0001802657,0.00018144069,0.0006679915,0.023688972,0.024420487,0.028295321,0.028539853
vacuum,105,-0.00037255103,-0.00015756328,0.00054983015,-0.0008299458,0.023312645,0.022515057,0.02925939,0.02893008
vacuum,106,0.00090202224,7.43228e-05,0.00022549246,-0.0010479665,0.024436185,0.022699295,0.029240876,0.028889444
vacuum,107,0.0005398433,0.0012625302,-0.0008596132,-0.00045360584,0.023736887,0.023376327,0.028833361,0.028050564
vacuum,108,-0.00015917307,-0.0005682255,-0.0005835877,0.0007884069,0.024416117,0.022908714,0.029359892,0.02963648
vacuum,109,-0.00050077995,-0.00015972706,-0.00023039375,0.00088767015,0.02334519,0.023399662,0.028480379,0.027576856
vacuum,110,0.0003092033,0.00053812354,-0.001169096,-0.00076167495,0.024015043,0.023687866,0.02845003,0.027888803
vacuum,111,-0.0005408076,-0.0005625362,-0.00078778644,-0.0014738223,0.024739599,0.023693865,0.028322816,0.028893989
vacuum,112,0.00020666025,0.00035319454,-0.0008103802,-0.00097002566,0.024067022,0.024017766,0.029350204,0.028505487
vacuum,113,-0.0003906137,0.00040298945,-0.00022924365,0.0012244729,0.024155848,0.023554811,0.027606828,0.02868296
vacuum,114,0.0008085361,0.00013138083,0.00055528275,0.00053711364,0.0232572,0.023690151,0.02836587,0.02948764
vacuum,115,0.0004316212,0.0008909192,-0.0013630468,0.0006964763,0.023452798,0.023469804,0.028517934,0.029632581
vacuum,116,-0.00038180617,0.00062018324,0.00077001826,-0.00043425208,0.023866845,0.023853557,0.029747749,0.027966846
vacuum,117,-0.00045107925,-0.00026238253,-2.4219102e-05,0.00055808283,0.023576563,0.023650926,0.027809028,0.028514178
vacuum,118,0.00042693442,-0.0001810099,0.00015734916,0.0007099551,0.02448948,0.02308573,0.027978865,0.028937811
vacuum,119,0.00060001394,-0.0002271114,0.00024063876,-0.0019190763,0.02402344,0.022753369,0.028272958,0.029240442
vacuum,120,-0.00079621444,-0.00030899444,-0.0014228374,0.00026447006,0.023951136,0.023445213,0.027348548,0.02849781
vacuum,121,-0.00036741857,0.0006424491,0.0002715791,-0.00053110963,0.023733027,0.02272907,0.028316975,0.029214859
vacuum,122,-0.00050240196,-0.00038212616,-0.0010147541,-0.00017411489,0.023366265,0.023751821,0.028253824,0.029003099
vacuum,123,0.0009125611,-0.0007387551,0.0018415775,-0.00089552166,0.02368856,0.023986587,0.027473604,0.02789127
vacuum,124,0.0007942481,0.00024266256,-0.0017814332,-0.0013959787,0.023529854,0.022958128,0.02827943,0.028787266
vacuum,125,-0.0006759994,0.0007218709,-0.00077293854,-0.0016335961,0.023739284,0.023629673,0.029760478,0.028353227
vacuum,126,0.0008224267,-0.000608124,-0.0006293158,-0.0007429862,0.023488501,0.023254815,0.029436199,0.028578147
vacuum,127,-0.00012448037,-1.776895e-05,-0.00035035604,0.00091964414,0.02404724,0.023859628,0.028831864,0.029574478
vacuum,128,0.0005801398,8.575349e-05,0.0005137547,-0.00032431545,0.023659514,0.024109554,0.028662004,0.028512146
vacuum,129,-0.0013718775,0.0006883216,2.0013016e-05,-0.000957752,0.024489498,0.023208862,0.028243696,0.028305912
vacuum,130,-0.00041803365,0.00016641893,-0.0005749481,-0.00011626183,0.023703577,0.02341421,0.028162278,0.02854894
vacuum,131,0.00072749995,0.0003877383,3.0304465e-05,-0.0003020997,0.023400687,0.023042403,0.027899424,0.02867762
vacuum,132,0.0010520216,-0.0015455815,-0.0006727994,7.7852106e-05,0.024630032,0.022752585,0.02770802,0.028515866
vacuum,133,-0.00080515206,-0.00056603085,-0.0006308259,-0.00060063985,0.023684,0.024318999,0.028599855,0.028513717
vacuum,134,0.0014937224,-0.00027846827,-0.00165909,0.00012190046,0.023948004,0.024884261,0.02814652,0.028610578
vacuum,135,-0.00056864566,0.00010908311,0.0009138513,0.0003057064,0.023675421,0.024261625,0.027711147,0.029648464
vacuum,136,6.555731e-05,-0.0007308116,-0.00039676155,-0.0005893941,0.023550382,0.022741796,0.028596776,0.028027412
vacuum,137,0.00063389924,-0.0007507457,0.0005416741,-0.00031729217,0.023448845,0.024531385,0.02762767,0.02922107
vacuum,138,8.691108e-05,-0.00020529523,-0.0017486096,4.450057e-05,0.023519877,0.023269601,0.027678896,0.028397948
vacuum,139,0.00050351885,-0.0003367659,0.0010571724,-0.00033531303,0.02353165,0.023577483,0.029212488,0.028245043
vacuum,140,0.00021146757,0.0008736469,-0.0006021456,-6.5896893e-06,0.023370644,0.023742817,0.028906649,0.02851518
vacuum,141,0.0006012317,-0.0006893559,0.00065910874,0.0012438169,0.022866992,0.023809688,0.029099189,0.0281542
vacuum,142,-4.5170775e-05,-0.0013989625,0.00027314265,0.00013463947,0.023853024,0.024669506,0.028854035,0.029380634
vacuum,143,0.001399576,-0.00042741196,-0.0006686241,0.0007089208,0.023859601,0.02354039,0.028157072,0.027922373
vacuum,144,-0.00067109725,-0.00012802683,-0.00062283996,0.0002760422,0.024785282,0.023821797,0.029296296,0.02901927
vacuum,145,0.0009364928,-0.00056227687,0.00037190574,0.0003575522,0.024096506,0.023299858,0.028424485,0.02853826
vacuum,146,-0.0010410998,-0.0009122628,0.0010100754,0.00060459494,0.024548814,0.023573408,0.028708871,0.027135044
vacuum,147,-0.0007784863,0.00029151197,0.00093670515,0.0003586014,0.022937505,0.024099676,0.02773836,0.028243104
vacuum,148,-0.0017810347,0.00063829555,0.0005308681,-0.00047131584,0.02464243,0.023990247,0.029214246,0.027950624
