state,time_s,I1_mean,Q1_mean,I2_mean,Q2_mean
vacuum,8.34e-07,-0.00019068085,-0.00018181685,0.00017516925,0.0014117459
vacuum,8.36e-07,-0.00052094896,-0.0005891945,0.0007451037,0.000180962
vacuum,8.38e-07,0.00027946068,0.0002143871,-0.00062999455,0.00041499396
vacuum,8.4e-07,0.0014129085,-0.00022031352,0.0006606624,0.0005901605
vacuum,8.42e-07,0.00027929377,5.854085e-05,0.0006702061,0.00039309735
vacuum,8.44e-07,-0.0007029976,-2.1652306e-05,-0.00035265798,-6.850772e-05
vacuum,8.46e-07,-0.0006414752,0.0006239247,0.00059957127,0.00026194198
vacuum,8.48e-07,-0.0002432593,-0.0012563317,-0.00080842327,-0.00031192476
vacuum,8.5e-07,0.00053297094,-0.000114379574,0.00074763043,0.0007385151
vacuum,8.52e-07,0.0006378513,0.00027079947,0.00017842631,0.00090697553
vacuum,8.54e-07,-0.00027061877,-9.9892386e-05,-0.00070158136,0.0014985409
vacuum,8.56e-07,0.0004325488,2.346478e-05,3.910901e-05,0.00033247
vacuum,8.58e-07,-9.320784e-06,-0.00029531732,0.00045620053,-0.0005731961
vacuum,8.6e-07,0.0005406519,0.0005880943,0.0005115224,0.0004925328
vacuum,8.62e-07,0.00062526896,-0.0005257768,-0.0005169812,0.00065247284
vacuum,8.64e-07,0.00047410236,-0.0008201172,-0.0008026593,0.0017555007
vacuum,8.66e-07,-1.1288362e-05,0.00024858242,-4.4750404e-06,-0.0004587848
vacuum,8.68e-07,-0.00040857407,0.0011710941,0.0009987546,0.0005327302
vacuum,8.7e-07,0.0005441609,0.00050155795,0.0006180536,0.00023291526
vacuum,8.72e-07,-0.00032135652,-0.0006748316,-0.00016240957,-0.0004199093
vacuum,8.74e-07,-0.00068596547,-0.0001562581,-0.00053249433,0.0006241019
vacuum,8.76e-07,0.00020250767,-0.00035028683,0.0010991823,-0.0004187228
vacuum,8.78e-07,-0.00018757545,-0.00052769587,0.00027178504,-0.00067346875
vacuum,8.8e-07,0.0003228889,0.0004030719,-0.0005267781,-7.676283e-05
vacuum,8.82e-07,0.00014872484,0.00046729998,0.0010314443,-0.00047605575
vacuum,8.84e-07,0.00020071161,-0.00058252143,-0.00095877465,3.3798984e-05
vacuum,8.86e-07,-0.00010490671,0.0005675375,9.067578e-07,-0.00081427174
vacuum,8.88e-07,0.0008464607,9.950094e-05,2.6854794e-05,7.041341e-05
vacuum,8.9e-07,-8.167922e-05,-0.0008842938,0.00019412315,-0.00015318135
vacuum,8.92e-07,0.0003116068,-0.00048393154,-0.0006057489,0.00030561956
vacuum,8.94e-07,6.157798e-05,0.00028482947,-0.00093638053,0.0006265019
vacuum,8.96e-07,-0.0010993171,-3.403584e-05,-0.0006067643,-0.00050045236
vacuum,8.98e-07,-8.184169e-05,-0.0011031952,-0.00048121286,0.000353829
vacuum,9e-07,0.0002487705,0.00049737666,0.0011747895,0.00039315355
vacuum,9.02e-07,-0.0010140396,-0.00057033944,0.0009772497,-0.00026116424
vacuum,9.04e-07,0.00059441564,3.8203616e-05,0.00025925486,0.00013391378
vacuum,9.06e-07,0.0005367754,8.256273e-05,0.0008327736,0.00096994895
vacuum,9.08e-07,-0.0004533283,0.00015700069,-0.00071060465,-0.0013504359
vacuum,9.1e-07,-0.00034206052,0.0006381542,0.0003883406,0.00010819394
vacuum,9.12e-07,0.00029860536,-0.00021497346,0.0008202033,0.0001320938
vacuum,9.14e-07,0.00029072948,-0.0005844125,-0.00075168133,-0.00046167246
vacuum,9.16e-07,0.0006215929,0.00025958236,-0.0019127779,-0.0018518373
vacuum,9.18e-07,-0.00050666224,0.0006235192,-0.0008900858,-0.0009171275
vacuum,9.2e-07,-0.00029119675,0.0008847702,0.0009648359,0.00021037897
vacuum,9.22e-07,-0.0003312068,-0.00016249057,-0.0011619375,-0.0005060002
vacuum,9.24e-07,-3.38021e-05,-0.0007050239,0.00072986307,0.00015816746
vacuum,9.26e-07,-0.0015062842,-2.4729385e-05,-0.00025208958,0.0006462774
vacuum,9.28e-07,0.00089842704,-0.00045103155,-5.7973564e-05,0.000981789
vacuum,9.3e-07,0.0008478726,0.00047512908,-0.0007567923,-0.00017758296
vacuum,9.32e-07,-0.0010722054,-0.00043102927,0.0015224357,-0.00011082651
vacuum,9.34e-07,-8.774513e-05,0.00062509655,-7.158804e-05,-0.00020143855
vacuum,9.36e-07,-0.00036929772,0.00046958186,0.0005147483,0.00016605495
vacuum,9.38e-07,0.0007136283,0.0007707327,0.00016989055,0.0006119228
vacuum,9.4e-07,-0.00012359624,-0.00057931594,-0.00045677682,-0.00017646048
vacuum,9.42e-07,-0.0006172601,5.6184428e-05,-0.00076217344,0.0015936507
vacuum,9.44e-07,-0.00034623855,-9.7629825e-05,-0.00010850329,0.00010896352
vacuum,9.46e-07,0.0004764103,0.0004969897,0.00037808486,0.0010107111
vacuum,9.48e-07,0.00015296262,-0.00013891446,-8.873209e-06,0.00023405782
vacuum,9.5e-07,-4.366323e-05,-0.0002637328,0.00019591444,-0.000121287245
vacuum,9.52e-07,0.0007296997,0.000115340685,7.859041e-05,-0.0008692943
vacuum,9.54e-07,-2.8285096e-05,-0.000118771124,1.5233026e-06,0.00012084953
vacuum,9.56e-07,0.0005997245,0.0004195024,0.0004956326,0.00064370973
vacuum,9.58e-07,-0.00022809404,0.00015623835,0.0006988572,0.0011380691
vacuum,9.6e-07,0.0007378022,-3.1701416e-05,0.00040634754,-9.260805e-06
vacuum,9.62e-07,0.00017299599,-0.00085276033,7.6792385e-05,0.0007632595
vacuum,9.64e-07,-0.00086043205,0.00051922916,-0.00078716164,0.00066375645
vacuum,9.66e-07,-1.2173413e-06,-0.000356967,3.1543525e-05,-0.0004123923
vacuum,9.68e-07,-0.00027119892,-0.0006058381,-0.00068177853,-0.0003686035
vacuum,9.7e-07,0.000840111,-0.00082765473,0.0007846329,-9.5184485e-05
vacuum,9.72e-07,-6.205437e-05,-0.0004158433,0.0006626292,0.0003594713
