pulse_index,pulseSigma_s,attenuation_index,attenuation,ampIf,I1,Q1,P1,I2,Q2,P2,PCorr,STD_I1,STD_Q1,STD_P1,STD_I2,STD_Q2,STD_P2,STD_PCorr
0,2e-08,47,27.46794001698349,0.04242608862273173,-0.0005160458292575763,-0.0025704205071114426,0.00108328609074229,-0.0002382313657168763,-0.0023425583472892727,0.001700745941822582,5.281545699873241e-06,9.054044998832316e-05,9.071072069478222e-05,4.228983190139631e-06,0.00011356038441128388,0.00011389792128332554,6.662937489520128e-06,3.7428359170532912e-06
0,2e-08,48,29.441675279781094,0.03380229842930754,-0.0004900539522264427,-0.0020740652469282833,0.0010795094935320015,-0.00019869442821047987,-0.0017900032740627814,0.0017064114433933014,3.3180010936740993e-07,9.028491539647686e-05,9.084376335390706e-05,4.251281820871265e-06,0.00011398487640903585,0.00011400749907059505,6.6644596675489915e-06,3.718381854375279e-06
0,2e-08,49,32.0,0.025178508235883346,-0.00016799955941818086,-0.001424388465808611,0.0010734954983878519,-3.4262876150731195e-05,-0.0013431691904886552,0.0017198735922380052,1.5486825374654316e-06,9.021438801766575e-05,9.061712876568585e-05,4.201209010627553e-06,0.00011437324770479056,0.00011461414601877019,6.70852890763178e-06,3.760826924187605e-06
1,2.25e-08,0,7.0,0.4477442277136679,0.0006215640921377487,0.0020893993012845316,0.0011049451835189066,0.0004940522491236008,0.0017823823771741883,0.001640232636641215,1.8891097398666144e-05,9.155647885284946e-05,9.168592495019604e-05,4.327798137742945e-06,0.00011201127806435138,0.00011149503629323777,6.4411095079080565e-06,3.7256121207536847e-06
1,2.25e-08,1,7.168926903566657,0.4391204375202437,0.00042242731920240535,0.002460178131160133,0.001116737339395222,0.0005953614283638158,0.002278531690570089,0.0016482562889774427,2.773722212339138e-05,9.197553105486892e-05,9.21237090658715e-05,4.376077193294866e-06,0.00011250758207167256,0.00011139893988974373,6.434392997990166e-06,3.7569063954059977e-06
1,2.25e-08,2,7.341204442230946,0.4304966473268195,0.0006597410749343073,0.0028685688251623553,0.0011184110271029025,0.0005643231031936187,0.0028304630065375935,0.0016600981995170047,2.2487599003958255e-05,9.179634993989519e-05,9.223946435498164e-05,4.381255529736229e-06,0.0001125024906435707,0.0001120227453575617,6.485665326057394e-06,3.753314768415921e-06
1,2.25e-08,3,7.516968228888988,0.4218728571333954,0.0005756611353693927,0.0026026082140042438,0.0011212553993543524,0.0009085760879491328,0.002466679561166633,0.0016690960934019746,3.3416946059988155e-05,9.227824844086966e-05,9.212279096849698e-05,4.3985575456188196e-06,0.00011294423462137006,0.00011228749597023444,6.5331004877753654e-06,3.7908285439863488e-06
1,2.25e-08,4,7.696362279941891,0.4132490669399712,0.0007214804056307248,0.003074848819445398,0.0011151996652051075,0.0009438754379353833,0.0027819280533253913,0.0016657718590476006,3.2998146453364774e-05,9.225942402110704e-05,9.139951839692059e-05,4.3767416859305515e-06,0.0001126454301430515,0.00011224488443370197,6.49415937435757e-06,3.7806512951998194e-06
1,2.25e-08,5,7.879539724284474,0.404625276746547,0.0007700076866835305,0.003205464184289449,0.0011183637973381628,0.0006089126404940382,0.0029387381575951598,0.0016750482181232308,3.851222765723808e-05,9.226081819819075e-05,9.15875368890118e-05,4.371370774360722e-06,0.00011287344428646217,0.00011262014664245017,6.522430140554054e-06,3.785383898584549e-06
1,2.25e-08,6,8.06666358867814,0.39600148655312284,0.000862003711837889,0.003362154726070679,0.0011259328361210798,0.0007515870706608868,0.003202947933366569,0.0016804334466364106,4.4192202315030634e-05,9.241450980308335e-05,9.196413521908552e-05,4.413180884758071e-06,0.00011335698022262596,0.00011237598013467375,6.598385662211658e-06,3.797893118151189e-06
1,2.25e-08,7,8.257907669600968,0.38737769635969865,0.0009278102290111935,0.0035517537804692174,0.0011455090693021303,0.0008828763707232182,0.003061760159571458,0.0016938650816374537,5.002416446080269e-05,9.294031686169819e-05,9.293477569113759e-05,4.469875663790749e-06,0.000113743696718815,0.00011294125150492789,6.633463154478854e-06,3.835031622121699e-06
